Year,Performance Level,Result (%),PercProf,PercProfLEA,PercProfSTATE,Assessment,Gender,Service,Race
2019,PL 1,0.155,0.0,0.0,0.0,3ELA,All Students,All Students,All Students
2019,PL 2,0.15,0.0,0.0,0.0,3ELA,All Students,All Students,All Students
2019,PL 3,0.19,0.0,0.0,0.0,3ELA,All Students,All Students,All Students
2019,PL 4,0.43,0.0,0.0,0.0,3ELA,All Students,All Students,All Students
2019,PL 5,0.075,0.0,0.0,0.0,3ELA,All Students,All Students,All Students
2019,PL 4/5,0.505,50.5,50.5,41.2,3ELA,All Students,All Students,All Students
2019,PL 1,0.143,0.0,0.0,0.0,3ELA,All Students,All Students,Am. Ind/AK
2019,PL 2,0.143,0.0,0.0,0.0,3ELA,All Students,All Students,Am. Ind/AK
2019,PL 3,0.19,0.0,0.0,0.0,3ELA,All Students,All Students,Am. Ind/AK
2019,PL 4,0.524,0.0,0.0,0.0,3ELA,All Students,All Students,Am. Ind/AK
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,All Students,Am. Ind/AK
2019,PL 4/5,0.524,52.4,52.4,34.8,3ELA,All Students,All Students,Am. Ind/AK
2019,PL 1,0.055,0.0,0.0,0.0,3ELA,All Students,All Students,Asian
2019,PL 2,0.078,0.0,0.0,0.0,3ELA,All Students,All Students,Asian
2019,PL 3,0.129,0.0,0.0,0.0,3ELA,All Students,All Students,Asian
2019,PL 4,0.575,0.0,0.0,0.0,3ELA,All Students,All Students,Asian
2019,PL 5,0.163,0.0,0.0,0.0,3ELA,All Students,All Students,Asian
2019,PL 4/5,0.738,73.8,73.8,67.6,3ELA,All Students,All Students,Asian
2019,PL 1,0.186,0.0,0.0,0.0,3ELA,All Students,All Students,African Am.
2019,PL 2,0.198,0.0,0.0,0.0,3ELA,All Students,All Students,African Am.
2019,PL 3,0.213,0.0,0.0,0.0,3ELA,All Students,All Students,African Am.
2019,PL 4,0.364,0.0,0.0,0.0,3ELA,All Students,All Students,African Am.
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,All Students,African Am.
2019,PL 4/5,0.404,40.4,40.4,26.7,3ELA,All Students,All Students,African Am.
2019,PL 1,0.278,0.0,0.0,0.0,3ELA,All Students,All Students,Hispanic
2019,PL 2,0.221,0.0,0.0,0.0,3ELA,All Students,All Students,Hispanic
2019,PL 3,0.22,0.0,0.0,0.0,3ELA,All Students,All Students,Hispanic
2019,PL 4,0.262,0.0,0.0,0.0,3ELA,All Students,All Students,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,All Students,Hispanic
2019,PL 4/5,0.281,28.1,28.1,26.6,3ELA,All Students,All Students,Hispanic
